5752 distinct characters collected so far.
The 650 most frequent ones are:
色 (U+8272: sè   ): 1093 (0.05%)
步 (U+6B65: bù   ): 1092 (0.05%)
快 (U+5FEB: kuài ): 1089 (0.05%)
奔 (U+5954: bēn  ): 1086 (0.05%)
败 (U+8D25: bài  ): 1082 (0.05%)
恐 (U+6050: kǒng ): 1074 (0.05%)
诗 (U+8BD7: shī  ): 1069 (0.05%)
阳 (U+9633: yáng ): 1065 (0.05%)
细 (U+7EC6: xì   ): 1063 (0.05%)
怕 (U+6015: pà   ): 1060 (0.05%)
九 (U+4E5D: jiǔ  ): 1060 (0.05%)
梁 (U+6881: liáng): 1053 (0.05%)
恩 (U+6069: ēn   ): 1052 (0.05%)
表 (U+8868: biǎo ): 1050 (0.05%)
姓 (U+59D3: xìng ): 1044 (0.05%)
斗 (U+6597: dòu  ): 1043 (0.05%)
思 (U+601D: sī   ): 1037 (0.05%)
侯 (U+4FAF: hóu  ): 1036 (0.05%)
草 (U+8349: cǎo  ): 1034 (0.05%)
敌 (U+654C: dí   ): 1034 (0.05%)
徒 (U+5F92: tú   ): 1033 (0.05%)
周 (U+5468: zhōu ): 1032 (0.05%)
忠 (U+5FE0: zhōng): 1030 (0.05%)
部 (U+90E8: bù   ): 1026 (0.05%)
破 (U+7834: pò   ): 1026 (0.05%)
客 (U+5BA2: kè   ): 1025 (0.05%)
俊 (U+4FCA: jùn  ): 1023 (0.05%)
信 (U+4FE1: xìn  ): 1022 (0.05%)
棒 (U+68D2: bàng ): 1017 (0.05%)
罗 (U+7F57: luō  ): 1015 (0.05%)
钱 (U+94B1: qián ): 1015 (0.05%)
常 (U+5E38: cháng): 1014 (0.05%)
满 (U+6EE1: mǎn  ): 1013 (0.05%)
铁 (U+94C1: tiě  ): 1012 (0.05%)
交 (U+4EA4: jiāo ): 1007 (0.05%)
背 (U+80CC: bèi  ): 1004 (0.05%)
提 (U+63D0: tí   ): 999 (0.05%)
智 (U+667A: zhì  ): 994 (0.05%)
员 (U+5458: yuán ): 992 (0.05%)
土 (U+571F: tǔ   ): 992 (0.05%)
盖 (U+76D6: gài  ): 989 (0.05%)
县 (U+53BF: xiàn ): 983 (0.05%)
晚 (U+665A: wǎn  ): 982 (0.05%)
魔 (U+9B54: mó   ): 981 (0.05%)
尉 (U+5C09: wèi  ): 980 (0.05%)
殿 (U+6BBF: diàn ): 980 (0.05%)
肯 (U+80AF: kěn  ): 976 (0.04%)
雄 (U+96C4: xióng): 974 (0.04%)
及 (U+53CA: jí   ): 972 (0.04%)
海 (U+6D77: hǎi  ): 971 (0.04%)
依 (U+4F9D: yī   ): 969 (0.04%)
理 (U+7406: lǐ   ): 965 (0.04%)
锋 (U+950B: fēng ): 964 (0.04%)
答 (U+7B54: dá   ): 964 (0.04%)
通 (U+901A: tōng ): 961 (0.04%)
佛 (U+4F5B: fú   ): 954 (0.04%)
延 (U+5EF6: yán  ): 954 (0.04%)
朱 (U+6731: zhū  ): 948 (0.04%)
慌 (U+614C: huāng): 948 (0.04%)
戴 (U+6234: dài  ): 948 (0.04%)
箭 (U+7BAD: jiàn ): 946 (0.04%)
念 (U+5FF5: niàn ): 945 (0.04%)
陈 (U+9648: chén ): 940 (0.04%)
黑 (U+9ED1: hēi  ): 939 (0.04%)
散 (U+6563: sàn  ): 939 (0.04%)
实 (U+5B9E: shí  ): 937 (0.04%)
径 (U+5F84: jìng ): 937 (0.04%)
妇 (U+5987: fù   ): 935 (0.04%)
脚 (U+811A: jiǎo ): 934 (0.04%)
世 (U+4E16: shì  ): 932 (0.04%)
容 (U+5BB9: róng ): 931 (0.04%)
则 (U+5219: zé   ): 927 (0.04%)
全 (U+5168: quán ): 927 (0.04%)
罪 (U+7F6A: zuì  ): 925 (0.04%)
指 (U+6307: zhǐ  ): 912 (0.04%)
失 (U+5931: shī  ): 908 (0.04%)
顺 (U+987A: shùn ): 906 (0.04%)
楼 (U+697C: lóu  ): 905 (0.04%)
车 (U+8F66: chē  ): 903 (0.04%)
语 (U+8BED: yǔ   ): 903 (0.04%)
势 (U+52BF: shì  ): 902 (0.04%)
索 (U+7D22: suǒ  ): 900 (0.04%)
愿 (U+613F: yuàn ): 894 (0.04%)
奉 (U+5949: fèng ): 894 (0.04%)
捉 (U+6349: zhuō ): 893 (0.04%)
英 (U+82F1: yīng ): 884 (0.04%)
暗 (U+6697: àn   ): 883 (0.04%)
双 (U+53CC: shuāng): 881 (0.04%)
耳 (U+8033: ěr   ): 879 (0.04%)
呼 (U+547C: hū   ): 877 (0.04%)
害 (U+5BB3: hài  ): 877 (0.04%)
商 (U+5546: shāng): 875 (0.04%)
堂 (U+5802: táng ): 874 (0.04%)
灵 (U+7075: líng ): 873 (0.04%)
离 (U+79BB: lí   ): 868 (0.04%)
蜀 (U+8700: shǔ  ): 861 (0.04%)
春 (U+6625: chūn ): 860 (0.04%)
穿 (U+7A7F: chuān): 858 (0.04%)
目 (U+76EE: mù   ): 856 (0.04%)
徐 (U+5F90: xú   ): 855 (0.04%)
流 (U+6D41: liú  ): 850 (0.04%)
骑 (U+9A91: qí   ): 846 (0.04%)
庆 (U+5E86: qìng ): 843 (0.04%)
施 (U+65BD: shī  ): 839 (0.04%)
苦 (U+82E6: kǔ   ): 835 (0.04%)
复 (U+590D: fù   ): 835 (0.04%)
号 (U+53F7: hào  ): 832 (0.04%)
菩 (U+83E9: pú   ): 829 (0.04%)
顾 (U+987E: gù   ): 828 (0.04%)
认 (U+8BA4: rèn  ): 828 (0.04%)
足 (U+8DB3: zú   ): 826 (0.04%)
皇 (U+7687: huáng): 826 (0.04%)
卢 (U+5362: lú   ): 824 (0.04%)
饭 (U+996D: fàn  ): 815 (0.04%)
萨 (U+8428: sà   ): 813 (0.04%)
吕 (U+5415: lǚ   ): 811 (0.04%)
史 (U+53F2: shǐ  ): 807 (0.04%)
求 (U+6C42: qiú  ): 802 (0.04%)
哭 (U+54ED: kū   ): 801 (0.04%)
鲁 (U+9C81: lǔ   ): 800 (0.04%)
轻 (U+8F7B: qīng ): 795 (0.04%)
营 (U+8425: yíng ): 795 (0.04%)
雨 (U+96E8: yǔ   ): 795 (0.04%)
童 (U+7AE5: tóng ): 792 (0.04%)
骂 (U+9A82: mà   ): 791 (0.04%)
横 (U+6A2A: héng ): 788 (0.04%)
